Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
01_launch petstore,3,806,793,853,853,853,772,853,0.000%,.03512,0.18,0.02
01_Launch Petstore,3,806,793,853,853,853,772,853,0.000%,.03388,0.18,0.02
02_click on enter the store,3,185,185,188,188,188,184,188,0.000%,.03540,0.15,0.02
02_enter the store,3,185,185,188,188,188,184,188,0.000%,.03418,0.14,0.02
03_click on sign in,6,370,383,413,413,413,314,413,0.000%,.06822,0.05,0.26
04_login-user credentials,3,392,380,418,418,418,379,418,0.000%,.03533,0.19,0.06
04_login,6,382,189,568,604,604,184,604,0.000%,.06585,0.51,0.09
05_catalog-choose category,3,185,185,186,186,186,184,186,0.000%,.03547,0.14,0.02
05_catalog,3,185,185,186,186,186,184,186,0.000%,.03422,0.14,0.02
Debug Sampler - category,3,2,1,4,4,4,1,4,0.000%,.03555,0.01,0.00
06_Choose any product-51,3,201,202,203,203,203,199,203,0.000%,.03546,0.14,0.02
06_Choose any product,3,201,202,203,203,203,199,203,0.000%,.03424,0.13,0.02
Debug Sampler - product,3,0,0,1,1,1,0,1,0.000%,.03555,0.01,0.00
07_Add to cart,6,199,199,203,203,203,197,203,0.000%,.06849,0.33,0.04
08_proceed,6,187,186,191,191,191,185,191,0.000%,.06851,0.38,0.04
09_continue,6,194,188,208,208,208,187,208,0.000%,.06851,0.32,0.08
10_confirm,6,188,188,189,189,189,188,189,0.000%,.06853,0.36,0.04
TOTAL,69,269,189,568,793,853,0,853,0.000%,.54345,2.31,0.55
